AccountID,CustomerID,AccountType,Branch,Status,OpenDate,CloseDate
ACC00001,CUST00697,Current,Indore Branch,Closed,2024-02-15,2025-04-06
ACC00002,CUST00136,Current,Indore Branch,Open,2025-03-24,
ACC00003,CUST00180,NRI,Bengaluru Branch,Closed,2021-12-20,2025-07-21
ACC00004,CUST00299,Salary,Nagpur Branch,Open,2024-04-15,
ACC00005,CUST00442,Current,Bhubaneswar Branch,Open,2024-05-16,
ACC00006,CUST00034,NRI,Chennai Branch,Open,2025-05-27,
ACC00007,CUST00161,Current,Patna Branch,Closed,2025-07-16,2025-12-13
ACC00008,CUST00624,Savings,Bhopal Branch,Open,2023-04-24,
ACC00009,CUST00297,Current,Pune Branch,Open,2024-12-25,
ACC00010,CUST00337,Savings,Patna Branch,Open,2024-08-02,
ACC00011,CUST00265,Current,Ahmedabad Branch,Open,2022-11-15,
ACC00012,CUST00351,NRI,Raipur Branch,Open,2023-12-06,
ACC00013,CUST00344,Savings,Kochi Branch,Open,2025-03-26,
ACC00014,CUST00701,Salary,Indore Branch,Open,2021-09-01,
ACC00015,CUST00536,Savings,Hyderabad Branch,Closed,2025-03-18,2025-04-25
ACC00016,CUST00394,Savings,Chandigarh Branch,Open,2025-10-06,
ACC00017,CUST00260,NRI,Raipur Branch,Open,2024-12-06,
ACC00018,CUST00487,Savings,Raipur Branch,Open,2025-06-11,
ACC00019,CUST00634,Salary,Ahmedabad Branch,Closed,2023-07-25,2024-07-29
ACC00020,CUST00458,NRI,Kochi Branch,Open,2025-06-29,
ACC00021,CUST00211,NRI,Hyderabad Branch,Open,2020-10-13,
ACC00022,CUST00040,NRI,Guwahati Branch,Open,2022-01-22,
ACC00023,CUST00746,NRI,Nagpur Branch,Open,2025-09-12,
ACC00024,CUST00580,Current,Indore Branch,Open,2025-08-06,
ACC00025,CUST00221,Current,Chandigarh Branch,Open,2024-11-05,
ACC00026,CUST00413,NRI,Bhubaneswar Branch,Open,2025-06-28,
ACC00027,CUST00211,Savings,Hyderabad Branch,Closed,2024-10-13,2025-05-29
ACC00028,CUST00761,Current,Chennai Branch,Open,2025-01-20,
ACC00029,CUST00147,NRI,Mumbai Branch,Open,2022-02-27,
ACC00030,CUST00029,NRI,Nagpur Branch,Open,2025-01-29,
ACC00031,CUST00342,Salary,Patna Branch,Open,2021-03-06,
ACC00032,CUST00338,NRI,Nagpur Branch,Open,2025-06-02,
ACC00033,CUST00122,Current,Indore Branch,Open,2025-01-31,
ACC00034,CUST00393,Savings,Mumbai Branch,Open,2020-05-13,
ACC00035,CUST00756,Salary,Bengaluru Branch,Closed,2023-10-04,2025-08-16
ACC00036,CUST00217,NRI,Lucknow Branch,Open,2025-03-19,
ACC00037,CUST00682,Salary,Bengaluru Branch,Open,2021-02-10,
ACC00038,CUST00372,Current,Delhi Branch,Open,2022-04-11,
ACC00039,CUST00392,Current,Ahmedabad Branch,Open,2025-09-11,
ACC00040,CUST00541,Salary,Jaipur Branch,Open,2023-11-21,
ACC00041,CUST00714,NRI,Patna Branch,Open,2024-04-16,
ACC00042,CUST00061,Current,Delhi Branch,Open,2025-09-10,
ACC00043,CUST00457,Savings,Jaipur Branch,Closed,2024-03-12,2025-05-04
ACC00044,CUST00064,Current,Pune Branch,Open,2021-12-08,
ACC00045,CUST00667,Savings,Kochi Branch,Open,2020-08-25,
ACC00046,CUST00193,Current,Jaipur Branch,Open,2023-12-06,
ACC00047,CUST00278,NRI,Patna Branch,Open,2025-02-18,
ACC00048,CUST00348,Current,Nagpur Branch,Open,2021-07-28,
