TransactionID,Date,AccountID,CustomerID,ProductID,TransactionType,TransactionChannel,Amount,Status
TXN000001,2025-12-16,ACC00248,CUST00434,PRD001,Credit,UPI,4178.28,Success
TXN000002,2025-08-24,ACC00945,CUST00783,PRD014,Credit,Mobile App,46309.04,Failed
TXN000003,2023-05-09,ACC00057,CUST00078,PRD010,Debit,UPI,117360.12,Success
TXN000004,2024-12-13,ACC00196,CUST00519,PRD001,Credit,UPI,11038.2,Failed
TXN000005,2024-07-21,ACC00363,CUST00464,PRD003,Debit,Net Banking,446041.72,Success
TXN000006,2025-04-15,ACC00631,CUST00008,PRD015,Credit,Net Banking,20625.78,Success
TXN000007,2023-04-16,ACC00106,CUST00342,PRD008,Debit,UPI,14341.17,Failed
TXN000008,2023-10-20,ACC00247,CUST00476,PRD008,Debit,Mobile App,1058.95,Success
TXN000009,2025-07-28,ACC00243,CUST00661,PRD011,Credit,Mobile App,441334.37,Success
TXN000010,2024-09-10,ACC00600,CUST00182,PRD004,Credit,Mobile App,1077.37,Failed
TXN000011,2025-11-30,ACC00367,CUST00197,PRD005,Credit,Net Banking,4827.27,Failed
TXN000012,2025-11-15,ACC00476,CUST00142,PRD007,Credit,ATM,7219.27,Success
TXN000013,2025-07-10,ACC00191,CUST00148,PRD003,Credit,UPI,351177.42,Success
TXN000014,2025-05-04,ACC00327,CUST00725,PRD003,Debit,Mobile App,63411.59,Success
TXN000015,2024-07-30,ACC00973,CUST00125,PRD014,Credit,UPI,44769.24,Success
TXN000016,2025-09-17,ACC00871,CUST00439,PRD007,Debit,UPI,720.31,Success
TXN000017,2025-05-23,ACC00680,CUST00293,PRD005,Debit,ATM,22075.46,Success
TXN000018,2023-01-26,ACC00924,CUST00087,PRD010,Credit,UPI,361505.48,Success
TXN000019,2025-09-07,ACC00361,CUST00166,PRD010,Credit,Net Banking,358988.82,Success
TXN000020,2025-09-25,ACC00181,CUST00029,PRD003,Debit,UPI,368899.44,Success
TXN000021,2025-10-26,ACC00838,CUST00044,PRD016,Debit,Mobile App,13803.61,Success
TXN000022,2025-02-06,ACC00233,CUST00161,PRD010,Credit,UPI,438226.59,Success
TXN000023,2023-04-06,ACC00807,CUST00664,PRD005,Debit,UPI,19252.0,Success
TXN000024,2023-07-02,ACC00140,CUST00754,PRD010,Credit,UPI,481263.73,Success
TXN000025,2023-04-23,ACC00325,CUST00190,PRD008,Credit,UPI,24014.8,Success
TXN000026,2025-04-16,ACC00059,CUST00701,PRD015,Credit,Net Banking,12490.93,Success
TXN000027,2025-12-25,ACC00189,CUST00080,PRD011,Credit,ATM,256864.06,Success
TXN000028,2025-11-15,ACC00356,CUST00094,PRD006,Credit,Net Banking,11102.7,Success
TXN000029,2025-08-02,ACC00765,CUST00519,PRD011,Debit,UPI,153494.21,Success
TXN000030,2025-06-21,ACC00776,CUST00708,PRD013,Debit,ATM,9649.58,Success
TXN000031,2025-07-28,ACC00828,CUST00284,PRD006,Credit,UPI,907.56,Success
TXN000032,2023-06-07,ACC00860,CUST00570,PRD012,Debit,Mobile App,4841.28,Success
TXN000033,2024-02-04,ACC00949,CUST00193,PRD008,Credit,POS,7181.08,Success
TXN000034,2025-07-22,ACC00870,CUST00160,PRD004,Debit,Net Banking,14098.21,Success
TXN000035,2024-12-18,ACC00737,CUST00559,PRD007,Debit,Net Banking,992.42,Success
TXN000036,2025-08-27,ACC00037,CUST00682,PRD008,Debit,UPI,20524.59,Success
TXN000037,2025-08-25,ACC00115,CUST00048,PRD008,Debit,ATM,11823.34,Success
TXN000038,2023-09-28,ACC00429,CUST00777,PRD011,Credit,ATM,218603.8,Success
TXN000039,2025-03-02,ACC00445,CUST00375,PRD005,Credit,UPI,14327.04,Success
TXN000040,2024-11-16,ACC00798,CUST00576,PRD001,Debit,Mobile App,18129.45,Success
TXN000041,2024-02-15,ACC00566,CUST00520,PRD007,Debit,Net Banking,10733.63,Success
TXN000042,2025-07-07,ACC00330,CUST00791,PRD014,Debit,UPI,31350.59,Success
TXN000043,2023-02-01,ACC00796,CUST00506,PRD001,Debit,Mobile App,18256.7,Success
TXN000044,2025-10-07,ACC00913,CUST00503,PRD011,Credit,ATM,131706.39,Success
TXN000045,2025-07-31,ACC00775,CUST00133,PRD007,Credit,UPI,11675.65,Success
TXN000046,2023-12-23,ACC00964,CUST00779,PRD011,Debit,Net Banking,315347.84,Success
TXN000047,2024-08-21,ACC00080,CUST00627,PRD011,Credit,UPI,406900.89,Success
TXN000048,2025-12-06,ACC00263,CUST00399,PRD015,Credit,Mobile App,6435.0,Success
TXN000049,2024-12-16,ACC00341,CUST00315,PRD006,Credit,UPI,19199.11,Success
TXN000050,2025-11-30,ACC00189,CUST00080,PRD001,Credit,UPI,14266.15,Success
TXN000051,2024-11-05,ACC00950,CUST00437,PRD005,Debit,ATM,20862.25,Success
TXN000052,2025-11-27,ACC00110,CUST00024,PRD015,Debit,Mobile App,985.4,Success
TXN000053,2025-11-17,ACC00575,CUST00716,PRD016,Credit,UPI,21644.09,Success
TXN000054,2025-01-02,ACC00353,CUST00587,PRD002,Debit,Mobile App,23201.97,Success
TXN000055,2025-09-08,ACC00215,CUST00621,PRD004,Credit,Mobile App,16987.12,Success
TXN000056,2025-04-23,ACC00056,CUST00566,PRD015,Debit,UPI,8359.81,Success
TXN000057,2025-07-09,ACC00716,CUST00191,PRD004,Debit,Net Banking,3817.69,Success
TXN000058,2025-11-09,ACC00203,CUST00441,PRD015,Debit,UPI,13403.4,Success
TXN000059,2025-06-11,ACC00979,CUST00375,PRD013,Credit,Mobile App,6283.81,Success
TXN000060,2025-06-04,ACC00603,CUST00619,PRD012,Debit,UPI,35637.08,Success
TXN000061,2025-02-04,ACC00430,CUST00527,PRD012,Credit,UPI,18893.39,Success
TXN000062,2025-01-30,ACC00987,CUST00749,PRD013,Debit,UPI,9163.13,Success
TXN000063,2024-12-23,ACC00770,CUST00227,PRD004,Credit,UPI,2405.84,Success
TXN000064,2025-07-20,ACC00821,CUST00432,PRD015,Credit,Net Banking,3936.54,Success
TXN000065,2024-04-28,ACC00863,CUST00298,PRD009,Credit,Mobile App,168972.18,Success
TXN000066,2024-02-05,ACC00129,CUST00635,PRD004,Credit,Net Banking,24558.61,Success
TXN000067,2025-10-14,ACC00679,CUST00637,PRD011,Debit,POS,37545.22,Success
TXN000068,2025-11-12,ACC00720,CUST00538,PRD008,Credit,ATM,7843.43,Success
TXN000069,2025-06-16,ACC00395,CUST00692,PRD015,Credit,ATM,8398.91,Success
TXN000070,2025-08-10,ACC00501,CUST00051,PRD003,Debit,UPI,377866.27,Success
TXN000071,2023-01-01,ACC00321,CUST00650,PRD009,Credit,Net Banking,120725.93,Success
TXN000072,2025-08-09,ACC00725,CUST00303,PRD005,Credit,UPI,19342.4,Success
TXN000073,2024-01-12,ACC00434,CUST00716,PRD004,Debit,UPI,2950.06,Success
TXN000074,2025-04-01,ACC00965,CUST00720,PRD006,Debit,Mobile App,13608.96,Success
TXN000075,2024-02-03,ACC00568,CUST00566,PRD008,Debit,UPI,20119.67,Failed
TXN000076,2025-10-06,ACC00760,CUST00067,PRD001,Debit,UPI,22316.85,Success
TXN000077,2025-12-28,ACC00594,CUST00128,PRD013,Debit,UPI,45212.97,Success
TXN000078,2025-05-18,ACC00173,CUST00428,PRD003,Credit,UPI,208120.05,Success
TXN000079,2023-01-11,ACC00742,CUST00535,PRD016,Debit,ATM,17284.11,Success
TXN000080,2025-06-13,ACC00580,CUST00719,PRD015,Credit,UPI,5033.86,Success
TXN000081,2025-06-30,ACC00952,CUST00093,PRD010,Debit,ATM,462936.32,Success
TXN000082,2023-09-11,ACC00924,CUST00087,PRD004,Debit,Mobile App,20078.53,Success
TXN000083,2025-10-19,ACC00872,CUST00512,PRD011,Debit,UPI,329320.93,Success
TXN000084,2024-05-30,ACC00834,CUST00520,PRD003,Debit,Mobile App,88986.41,Failed
TXN000085,2023-12-14,ACC00735,CUST00288,PRD002,Debit,UPI,4665.49,Success
TXN000086,2025-11-11,ACC00271,CUST00567,PRD005,Debit,UPI,8186.55,Success
TXN000087,2025-01-09,ACC00164,CUST00696,PRD012,Credit,UPI,24193.28,Success
TXN000088,2024-01-27,ACC00102,CUST00058,PRD001,Debit,UPI,14409.49,Success
TXN000089,2025-01-17,ACC00493,CUST00764,PRD002,Debit,Mobile App,2763.83,Success
TXN000090,2025-12-02,ACC00304,CUST00142,PRD004,Debit,UPI,11578.27,Success
TXN000091,2024-08-28,ACC00505,CUST00462,PRD008,Debit,UPI,4059.61,Success
TXN000092,2024-08-07,ACC00937,CUST00739,PRD012,Credit,UPI,34855.96,Success
TXN000093,2025-09-14,ACC00026,CUST00413,PRD004,Credit,POS,8620.8,Success
TXN000094,2023-09-20,ACC00772,CUST00506,PRD009,Debit,UPI,374896.18,Success
TXN000095,2025-09-30,ACC00017,CUST00260,PRD004,Debit,ATM,14942.28,Success
TXN000096,2025-11-28,ACC00172,CUST00649,PRD001,Credit,UPI,7770.09,Success
TXN000097,2025-12-09,ACC00023,CUST00746,PRD004,Credit,Mobile App,14950.49,Success
TXN000098,2025-12-18,ACC00966,CUST00570,PRD005,Debit,UPI,1630.91,Success
TXN000099,2023-11-08,ACC00470,CUST00662,PRD011,Credit,UPI,382394.49,Success
TXN000100,2025-07-16,ACC00969,CUST00575,PRD001,Debit,Net Banking,11379.06,Success
TXN000101,2025-06-26,ACC00008,CUST00624,PRD003,Credit,Mobile App,118717.61,Success
TXN000102,2025-07-12,ACC00119,CUST00780,PRD014,Debit,UPI,34138.17,Success
TXN000103,2025-11-14,ACC00844,CUST00676,PRD006,Debit,Branch,22886.44,Success
TXN000104,2025-08-27,ACC00407,CUST00130,PRD015,Debit,Mobile App,12809.55,Success
TXN000105,2024-11-14,ACC00989,CUST00019,PRD004,Debit,ATM,22536.78,Success
TXN000106,2025-08-28,ACC00199,CUST00415,PRD010,Debit,UPI,489774.19,Success
TXN000107,2025-07-06,ACC00124,CUST00195,PRD001,Credit,UPI,10849.72,Success
TXN000108,2024-02-23,ACC00147,CUST00100,PRD003,Debit,Mobile App,214895.67,Success
TXN000109,2025-11-21,ACC00679,CUST00637,PRD014,Credit,UPI,7383.91,Success
TXN000110,2025-02-27,ACC00508,CUST00114,PRD012,Debit,ATM,21153.16,Success
TXN000111,2023-04-22,ACC00601,CUST00620,PRD009,Credit,ATM,25569.32,Success
TXN000112,2023-06-09,ACC00833,CUST00285,PRD007,Debit,UPI,16482.37,Success
TXN000113,2025-10-24,ACC00522,CUST00408,PRD004,Debit,UPI,20167.95,Success
TXN000114,2024-04-13,ACC00910,CUST00613,PRD011,Debit,ATM,466549.29,Success
TXN000115,2025-11-29,ACC00248,CUST00434,PRD016,Debit,Mobile App,20519.78,Success
TXN000116,2024-03-14,ACC00063,CUST00599,PRD005,Credit,UPI,285.01,Success
TXN000117,2025-02-22,ACC00879,CUST00686,PRD011,Credit,Net Banking,149240.22,Success
TXN000118,2025-03-07,ACC00216,CUST00631,PRD001,Debit,Mobile App,1042.84,Success
TXN000119,2025-10-07,ACC00023,CUST00746,PRD009,Credit,UPI,481634.12,Success
TXN000120,2023-06-14,ACC00110,CUST00024,PRD013,Credit,Net Banking,43037.86,Success
TXN000121,2025-09-18,ACC00069,CUST00587,PRD011,Debit,UPI,271211.26,Success
TXN000122,2024-01-15,ACC00972,CUST00663,PRD012,Debit,UPI,33354.98,Success
TXN000123,2024-07-14,ACC00158,CUST00633,PRD014,Debit,Net Banking,29191.61,Success
TXN000124,2023-06-18,ACC00682,CUST00596,PRD015,Debit,Branch,368.51,Success
TXN000125,2025-12-28,ACC00242,CUST00355,PRD007,Debit,Branch,8354.7,Success
